title,genre_id,age_release,description,image_url
Ichi the Killer,"28,80,27",2001,"As sadomasochistic yakuza enforcer Kakihara searches for his missing boss he comes across Ichi, a repressed and psychotic killer who may be able to inflict levels of pain that Kakihara has only dreamed of.",/k8j4YLZlda98dqp9ErymKzjYowG.jpg
Doraemon: Nobita's Treasure Island,"16,12,14,878,35",2018,"Upon hearing about the story of Treasure Island, Nobita dreams of discovering and exploring his own treasure island, despite the fact all of the Earth has been mapped already.",/xiLRClQmKSVAbiu6rgCRzNQjcSX.jpg
Smoke,"35,18",1995,"Writer Paul Benjamin is nearly hit by a bus when he leaves Auggie Wren's smoke shop. Stranger Rashid Cole  saves his life, and soon middle-aged Paul tells homeless Rashid that he wouldn't mind a short-term housemate. Still grieving over his wife's murder, Paul is moved by both Rashid's quest to reconnect with his father and Auggie's discovery that a woman who might be his daughter is about to give birth.",/phvnN7OPEnlHoAZe8nsSqPDD8B0.jpg
The Damned,"18,36",1969,"In the early days of Nazi Germany, a powerful noble family must adjust to life under the new dictatorship regime.",/hgUw52rwePsQ5oU7ahbYZySGrrO.jpg
Dangerous Waters,53,2023,"A young woman, her new boyfriend and her single mother embark on a sailing adventure to Bermuda. However, when criminals suddenly attack their boat, the pleasure trip turns into a desperate fight for survival and a quest for vengeance.",/kIMbYsYVD2brZUTqc2LIoQRAXr6.jpg
Kill Bill: The Whole Bloody Affair,"28,80,53",2011,"An assassin is shot and almost killed by her ruthless employer, Bill, and other members of their assassination circle – but she lives to plot her vengeance.  Kill Bill: The Whole Bloody Affair is a complete edit of the two-part martial arts action films Kill Bill: Vol. 1 and Kill Bill: Vol. 2. The film was originally scheduled to be released as one part. However, due to the film's over 4 hour running time, it was split into two parts.",/nxbv9TPXrIpRKB5xQh6atWXAkPM.jpg
Throne of Elves,"14,16,10751",2016,"In the mythical Elven world of Altera, an epic battle unfolds between the beautiful Princess Liya and the Dark Elf Elena, who has gained possession of a jewel so powerful it allows its holder complete authority over all Alterans.",/yCV6x3ovzdPEF8LC7JmTr0wOxs3.jpg
The Descent: Part 2,"12,27,53",2009,"Distraught, confused, and half-wild with fear, Sarah Carter emerges alone from the Appalachian cave system where she encountered unspeakable terrors. Unable to plausibly explain to the authorities what happened - or why she's covered in her friends' blood - Sarah is forced back to the subterranean depths to help locate her five missing companions.",/dOURlcw2MO0xys0Dl2NiAcUxlWA.jpg
Batman: Assault on Arkham,"53,16,28,80",2014,Batman works desperately to find a bomb planted by the Joker while Amanda Waller sends her newly-formed Suicide Squad to break into Arkham Asylum and recover vital information stolen by the Riddler.,/b9KxvIAZkl2f57kjObj8Z9z9LhL.jpg
Detective Conan: The Time Bombed Skyscraper,"12,9648,16",1997,"Conan Edogawa is facing a dilemma: Ran Mouri has asked Shinichi Kudou out to the movies and he is unable to provide a convincing excuse not to go. However, when the day of the date arrives, he has more pressing problems to worry about—a great amount of plastic explosives has recently been stolen and the culprit has challenged Shinichi to find and dispose of the bombs he has scattered across the city. Now forced in a race against time, Conan must not only protect the city, but also figure out who the mastermind is and his reason for confronting Shinichi.",/5RB171WScK3nh4PqoRn8bj3iNLa.jpg
Victor Frankenstein,"18,878,53",2015,Eccentric scientist Victor Von Frankenstein creates a grotesque creature in an unorthodox scientific experiment.,/bYUmSLPtWylFKbEBHOXT1kt9l5b.jpg
The Spirit,"28,35,80,14,18",2008,"A Rookie cop named Denny Colt returns from the beyond as The Spirit, a hero whose mission is to fight against the bad forces from the shadows of Central City.  The Octopus, who kills anyone unfortunate enough to see his face, has other plans; he is going to wipe out the entire city.",/g9qawfzR3LWRC8r8YZ9w2yaQi5W.jpg
Megan Is Missing,"18,27,53",2011,"Fourteen-year–old Megan and her best friend Amy spend a lot of time on the internet, posting videos of themselves and chatting with guys online. One night Megan chats with a guy named Josh who convinces her to meet him for a date. The next day, Megan is missing—forever. Based on actual cases of child abduction.",/a7ndLikcqvX7dF7gsYx5iDe7qq1.jpg
I Believe,"10751,18",2019,A 9 year old boy experiences God's power in a supernatural way.,/7DVRR21ol8EojJxAlaNcLTzLBvI.jpg
Feast,"27,28",2005,"When a motley crew of strangers find themselves trapped in an isolated tavern, they must band together in a battle for survival against a family of flesh-hungry creatures.",/61RknsRLF5YT1gIgSCVv4qbTt8C.jpg
The Adventures of Robin Hood,"12,10749,36",1938,Robin Hood fights nobly for justice against the evil Sir Guy of Gisbourne while striving to win the hand of the beautiful Maid Marian.,/c7LX3GMf9uXQTgVm3uxpm7E6Woc.jpg
Missing Link,"10751,16,35,12,14",2019,"The charismatic Sir Lionel Frost considers himself to be the world's foremost investigator of myths and monsters. Trouble is, none of his small-minded, high-society peers seems to recognize this. Hoping to finally gain acceptance from these fellow adventurers, Sir Lionel travels to the Pacific Northwest to prove the existence of a legendary creature known as the missing link.",/gEkKHiiQRVUSX15Iwo8VFydXrtu.jpg
Playing with Love,18,1977,"Laura and Fabrizio have been meeting every summer in the forest by her parent's summer home. Fabrizio is a solitary boy with only his dog for company; Laura a sweet but unconfident child. This summer new aspects enter into their story as both are growing up. Laura is falling in love with Fabrizio, while he displays a new sexual awareness of her masked by his malice. Things develop further when they meet Sylvia who, unlike the innocent Laura, is confident and assertive. Fabrizio develops a fascination with her, eventually bribing Laura to fetch her to the forest to join them in play.",/nu5uj47KSF73VPEiIRYdPLJ96j7.jpg
A Man for All Seasons,"18,36",1966,"A depiction of the conflict between King Henry VIII of England and his Lord Chancellor, Sir Thomas More, who refuses to swear the Oath of Supremacy declaring Henry Supreme Head of the Church in England.",/fKdIMxsxt2PQlHGqmnl8uSS2C54.jpg
Imperium,"80,18",2016,"Nate Foster, a young, idealistic FBI agent, goes undercover to take down a radical white supremacy terrorist group. The bright up-and-coming analyst must confront the challenge of sticking to a new identity while maintaining his real principles as he navigates the dangerous underworld of white supremacy. Inspired by real events.",/fEwo3gZfbeoovdcTyf4o4wATE1r.jpg
Death Wish II,"28,80,18",1982,Paul Kersey is again a vigilante trying to find five punks who murdered his housekeeper and daughter in Los Angeles.,/1bhSCZAifl229B1vCLCiE9BZp7l.jpg
Dangerous Minds,18,1995,"Former Marine Louanne Johnson lands a gig teaching in a pilot program for bright but underachieving teens at a notorious inner-city high school. After having a terrible first day, she decides she must throw decorum to the wind. When Johnson returns to the classroom, she does so armed with a no-nonsense attitude informed by her military training and a fearless determination to better the lives of her students -- no matter what the cost.",/yWHWC8fJRp2kLgiFrEa8o3krOH9.jpg
The Beguiled,18,2017,"During the Civil War, at a Southern girls’ boarding school, young women take in an injured enemy soldier. As they provide refuge and tend to his wounds, the house is taken over with sexual tension and dangerous rivalries, and taboos are broken in an unexpected turn of events.",/uQxfqFAqAvNK5b1wD11b2ycDAVg.jpg
Death Race 2000,"28,878",1975,"In a boorish future, the government sponsors a popular, but bloody, cross-country race in which points are scored by mowing down pedestrians. Five teams, each comprised of a male and female, compete using cars equipped with deadly weapons. Frankenstein, the mysterious returning champion, has become America's hero, but this time he has a passenger from the underground resistance.",/kwM8kkNGtv62gfPWVhD6qFxjDzg.jpg
Superman: Doomsday,"28,16,878,10751",2007,"When LexCorp accidentally unleashes a murderous creature, Superman meets his greatest challenge as a champion. Based on the ""The Death of Superman"" storyline that appeared in DC Comics' publications in the 1990s.",/itvuWm7DFWWzWgW0xgiaKzzWszP.jpg
Yu Pui Tsuen II,"18,14,10749",1987,"Before Michael Mak’s Sex And Zen became a cult favourite in the ’90s, there was Ho Fan’s Yu Pui Tsuen (The Carnal Prayer Mat, 1987). But without sex bomb Amy Yip, coarse humour or lesbian love affairs, Yu Pui Tsuen had to rely on the nudity and sex from his cast of relative unknowns to save the day.  When a young man dreams that he drowns after a night of carnal passion, he asks a buddhist monk to translate the experience for him. The monk replies that the dream is a warning not to indulge the pleasures of the flesh to excess, but the man ignores his advice, marrying a virgin and making love to her constantly. However, after several torrid affairs, the man begins to realise the sagacity of the monk's warning.",/mrV7CcjEtuXtXjykopDUiIgIQru.jpg
The Astronaut's Wife,"18,878,53",1999,"When astronaut Spencer Armacost returns to Earth after a mission that nearly cost him his life, he decides to take a desk job in order to see his beautiful wife, Jillian, more often. Gradually, Jillian notices that Spencer's personality seems to have changed, but her concerns fade when she discovers that she's pregnant. As Jillian grows closer to becoming a mother, her suspicions about Spencer return. Why does it seem as if he's a different person?",/54RGJ6INW9ERG8IaalmMKbbDgwH.jpg
Cube Zero,"9648,878,53",2004,A young programmer whose job is to watch over the reality-warping Cube defies orders to rescue an innocent mother trapped in one of its rooms.,/p3t7ofvNlNhRkbAspiUe4ZdNcGA.jpg
Newness,"10749,18",2017,"In contemporary Los Angeles, two millennials navigating a social media–driven hookup culture begin a relationship that pushes both emotional and physical boundaries.",/vySlYPqOrI5s8Nu6bzpGKQbotVy.jpg
Do You Believe?,18,2015,"When a pastor is shaken by the visible faith of a street-corner preacher, he is reminded that true belief always requires action. His response ignites a journey that impacts everyone it touches in ways that only God could orchestrate.",/89fJ4hV9fCB01EvhhLOgjMJI4A6.jpg
Legend of the BoneKnapper Dragon,"16,14,10751,12,35,10770",2010,"The film follows Hiccup and his young fellows accompanying their mentor, Gobber, on a quest to kill the legendary Boneknapper Dragon. An extra that accompanies the film ""How to Train Your Dragon"".",/bCL4BSGogHWpWuK8CPh8ulu8cMf.jpg
The Jacket,"53,9648,18,878,14",2005,"A military veteran goes on a journey into the future, where he can foresee his death and is left with questions that could save his life and those he loves.",/rubXTfC67U6FrnNl14QNOElef2E.jpg
Day of the Dead: Bloodline,"28,27",2017,"In a world overrun by zombies, military personnel and survivalists live in an underground bunker while they seek a cure.",/3jM4C1wJxHLWlF4tcSyyv6fnJPR.jpg
Obsessed,"53,18",2022,"Medical examiner and pathologist Lisa examines a fresh corpse and discovers that the deceased is her accidental lover, and on her body there is an imprint of an ominous picture.",/rWHk1BQYw4NC1wkwpwhpkx2TwyX.jpg
Monkey King: Hero Is Back,"14,16,35",2015,"The all-powerful Monkey King once roamed freely between Heaven and Earth, but after angering the Gods, he was imprisoned within an ice cage deep within the mountains. 500 years later, monsters attack a small village and a child flees to the mountains. Unknowingly, the child releases the Monkey King from his curse. With the help and encouragement from this special child, Monkey King saves the village from the evil monsters.",/xHme10Y5jVdH8KeSGgStndjatF5.jpg
Vertical Limit,"12,28,53",2000,"Trapped near the summit of K2, the world's second-highest mountain, Annie Garrett radios to base camp for help. Brother Peter hears Annie's message and assembles a team to save her and her group before they succumb to K2's unforgiving elements. But, as Annie lays injured in an icy cavern, the rescuers face several terrifying events that could end the rescue attempt -- and their lives.",/kpqQUEi8eAyYHMDFACf6YlnPIu7.jpg
Man on the Moon,"35,18",1999,"The story of the life and career of eccentric avant-garde comedian, Andy Kaufman.",/msOZS07xRIFnapwp3fprGbKEAfT.jpg
Pushpa: The Rise,"28,18,53",2021,"Pushpa Raj is a coolie who rises in the world of red sandalwood smuggling. Along the way, he doesn’t shy from making an enemy or two.",/r1yAzVQNbCbPTbB3GZFour9Qr0t.jpg
A Hipster in Rural Spain,35,2024,Quique is dispatched to a village in deep Spain Teruel to lead its politics of recuperation but soon discovers he was sent there so that his girlfriend and leader of his party could spend more time together.,/78KfOGOqXvTja8lRFwgjmkprRmI.jpg
Baba Yaga: Terror of the Dark Forest,27,2020,"The young family who moved to a new apartment on the outskirts of the city. The nanny hired by them for the newborn daughter quickly gained confidence. However, the older boy, Egor, talks about the frightening behavior of a woman, but his parents do not believe him. The surveillance cameras installed by the father for comfort only confirm everything is in order. Then one day, Egor, returning home, finds no trace of either the nanny or the little sister, and the parents are in a strange trance and do not even remember that they had a daughter. Then Egor, together with his friends, goes in search, during which it turns out that the nanny is an ancient Slavic demon, popularly known as Baba Yaga.",/8m5HTXzwewlfXhtZtLlLts53YTW.jpg
Onegin,"18,10749",1999,"In the opulent St. Petersburg of the Empire period, Eugene Onegin is a jaded but dashing aristocrat – a man often lacking in empathy, who suffers from restlessness, melancholy and, finally, regret. Through his best friend Lensky, Onegin is introduced to the young Tatiana. A passionate and virtuous girl, she soon falls hopelessly under the spell of the aloof newcomer and professes her love for him",/wqI9NPJfTwD6ggEL7jdVCdJFc0m.jpg
The Deep,"9648,53,12",1977,A pair of young vacationers are involved in a dangerous conflict with treasure hunters when they discover a way into a deadly wreck in Bermuda waters.,/zVMG4PgAqYSZxCIhJiizJakYgNT.jpg
Down with Love,"35,10749",2003,"In 1962 New York City, love blossoms between a playboy journalist and a feminist advice author.",/8hpGe0U8oK05dEjVjACjw6TgbWm.jpg
Dangerous,"28,53",2021,"A reformed sociopath heads to a remote island after the death of his brother. Soon after his arrival, the island falls under siege from a deadly gang of mercenaries, and when he discovers their role in his brother’s demise, he sets out on a relentless quest for vengeance.",/vTtkQGC7qKlSRQJZYtAWAmYdH0A.jpg
Being John Malkovich,"35,18,14",1999,"One day at work, unsuccessful puppeteer Craig finds a portal into the head of actor John Malkovich. The portal soon becomes a passion for anybody who enters its mad and controlling world of overtaking another human body.",/vKVUsumbCzK5Kn3aDpKM4EizKCA.jpg
The Deep House,"27,53",2021,"While diving in a remote French lake, a couple of YouTubers who specialise in underwater exploration videos discover a house submerged in the deep waters. What was initially a unique finding soon turns into a nightmare when they discover that the house was the scene of atrocious crimes. Trapped, with their oxygen reserves falling dangerously, they realise the worst is yet to come: they are not alone in the house.",/52E0LGcMKHOO91P4j6hdHKVwITP.jpg
I Kill Giants,"14,18",2017,"Sophia, a new high school student, tries to make friends with Barbara, who tells her that “she kills giants,” protecting this way her hometown and its inhabitants, who do not understand her strange behavior.",/cvit6HDbXHE6W5kGPd47jd0wthQ.jpg
SAS: Red Notice,"18,28,53",2021,"An off-duty SAS soldier, Tom Buckingham, must thwart a terror attack on a train running through the Channel Tunnel. As the action escalates on the train, events transpire in the corridors of power that may make the difference as to whether Buckingham and the civilian passengers make it out of the tunnel alive.",/6Y9fl8tD1xtyUrOHV2MkCYTpzgi.jpg
For Whom the Bell Tolls,"10752,10749,36,18,12",1943,Spain in the 1930s is the place to be for a man of action like Robert Jordan. There is a civil war going on and Jordan—who has joined up on the side that appeals most to idealists of that era—has been given a high-risk assignment up in the mountains. He awaits the right time to blow up a crucial bridge in order to halt the enemy's progress.,/j5tBLqs599srb0lryNZIlAWfWWy.jpg
Dope,"80,18,35",2015,"Malcolm is carefully surviving life in a tough neighborhood in Los Angeles while juggling college applications, academic interviews, and the SAT. A chance invitation to an underground party leads him into an adventure that could allow him to go from being a geek, to being dope, to ultimately being himself.",/n6u00imN7AX2NiyWUc5kTgHXmEf.jpg
Son of Dracula,27,1943,"Carpathian Count Alucard is invited to the U.S. by a young heiress. Her boyfriend and local officials are suspicious of the newcomer, who is interested in the ""virile"" soil of the new world.",/pQTLdJ46WXPIix05EkcHAMDKUIw.jpg
Upside-Down Magic,"14,10751,10770",2020,"Nory and her best friend Reina enter the Sage Academy for Magical Studies, where Nory’s unconventional powers land her in a class for those with wonky, or “upside-down,” magic. Undaunted, Nory sets out to prove that that upside-down magic can be just as powerful as right-side-up.",/h9vTJ78h0SASYUxg4jV0AQ00oF2.jpg
Kes,18,1970,"Bullied at school and ignored and abused at home by his indifferent mother and older brother, Billy Casper, a 15-year-old working-class Yorkshire boy, tames and trains his pet kestrel falcon whom he names Kes. Helped and encouraged by his English teacher and his fellow students, Billy finally finds a positive purpose to his unhappy existence—until tragedy strikes.",/r1FMq75irhsQBVGjXhPU4xA9SDo.jpg
Euphoria,18,2018,"The story of two sisters on a journey, where they try to get close to each other and approach the tough questions in life. Euphoria is a contemporary drama about responsibility and reconciliation, in a world where these concepts are gradually being lost.",/Anw3eLdNVRXafpYktwRzAGd6sPW.jpg
Kuroko's Basketball the Movie: Last Game,16,2017,"Shortly after the Inter-High of Kagami and Kuroko's second-year, a street basketball team from the USA called Team Jabberwock came to Japan to play a friendly match against a Japanese college-level street basketball team, Team Strky. Despite their best efforts, Strky is brutally crushed by Jabberwock. After the match, the Jabberwock players insult the players from Strky and all of Japanese basketball, claiming Strky's basketball was at the same level as monkeys and telling the players and crowds to quit playing basketball and kill themselves.  As a revenge match, Kagetora assembles a dream team of all members of Generation of Miracles plus Kuroko Tetsuya and Kagami Taiga, along with bench players Hyūga Junpei, Takao Kazunari, and Wakamatsu Kōsuke, forming Team Vorpal Swords, with the hopes of reclaiming the pride of Japanese basketball.",/mXJQbwxA0joNv9rGy25rFrm5N1r.jpg
The Siege,"18,28,53,80",1998,"The secret US abduction of a suspected terrorist from his Middle East homeland leads to a wave of terrorist attacks in New York.  An FBI senior agent and his team attempt to locate and decommission the enemy cells, but must also deal with an Army General gone rogue and a female CIA agent of uncertain loyalties.",/6aSo9FepBA6zNEHgA3bgqt3UaOk.jpg
Arthur,"35,18,10749",1981,Arthur is a 30-year-old child who will inherit $750 million if he complies with his family's demands and marries the woman of their choosing.,/m8yOFRDVZPxtsr4D2hVdzls6q6t.jpg
Mr. Turner,"36,18",2014,"Eccentric British painter J.M.W. Turner  lives his last 25 years with gusto and secretly becomes involved with a seaside landlady, while his faithful housekeeper bears an unrequited love for him.",/rnVhl1PFSOoW5c6UhZJZt5TV98p.jpg
Billy Bathgate,80,1991,"In the year 1935, a teen named Billy Bathgate finds first love while becoming the protégé of fledgling gangster Dutch Schultz.",/zDC0bY6IvGIf1SrDipLZJxR0Z2d.jpg
Rollerball,"28,878,53",2002,"In this fast action-packed thriller, Jonathan, Marcus, and Aurora compete in a dangerous, fierce sport called Rollerball. Although, Johnathan and Marcus try to quit, cruel and vindictive promoter Alexi Petrovich encourages them to still participate.",/5Wquo3EjfDpK7S1BHcybuC3TZDO.jpg
Judy,"18,36,10402",2019,"Thirty years after starring in ""The Wizard of Oz,"" beloved actress and singer Judy Garland arrives in London to perform sold-out shows at the Talk of the Town nightclub. While there, she reminisces with friends and fans and begins a whirlwind romance with musician Mickey Deans, her soon-to-be fifth husband.",/iqJhHjD6k6T07waELjMKDpQJUP.jpg
Because I Said So,"10749,35",2007,"In an effort to prevent family history from repeating itself, meddlesome mom Daphne Wilder attempts to set up her youngest daughter, Milly, with Mr. Right. Meanwhile, her other daughters try to keep their mom's good intentions under control.",/wQtGQnr5RPnmzSfV9zUcgh8R9NX.jpg
Breathe,"18,10749",2017,"Based on the true story of Robin, a handsome, brilliant and adventurous man whose life takes a dramatic turn when polio leaves him paralyzed.",/wLu2N0QVfSpk10RJ17HLHyRUmww.jpg
Big Jake,37,1971,An aging Texas cattle man who has outlived his time swings into action when outlaws kidnap his grandson.,/wcmxYNuM9akm0Qjs86quqMAUX6C.jpg
The Villain,"35,37",1979,"Handsome Stranger has agreed to escort Charming Jones to collect her inheritance from her father. But Avery Simpson wants the money and hires notorious outlaw Cactus Jack to ambush Charming. However, Cactus Jack is not very good at robbing people.",/kqLCiWYfQu5hAq7NZoSXV59a4yX.jpg
A Good Person,"18,35",2023,Allison's life falls apart following her involvement in a fatal accident. The unlikely relationship she forms with her would-be father-in-law helps her live a life worth living.,/6toz74j1OgbQrsZUjgr2Ohs1AsE.jpg
Avengers Confidential: Black Widow & Punisher,"16,878,28",2014,"When the Punisher takes out a black-market weapons dealer, he stumbles upon a far-reaching terrorist plot devised by a group known as Leviathan.",/wJcyYVRPZDOZOD2w0r2R6wuZqqN.jpg
Patch Adams,"35,18",1998,"The true story of Dr. Hunter ""Patch"" Adams, who in the 1970s found that humor is the best medicine, and was willing to do just anything to make his patients laugh—even if it meant risking his own career.",/xN1aKur5ddWQSXTqvzDPJD2TCxe.jpg
Is Paris Burning?,"10752,18,36",1966,"Near the end of World War II, Gen. Dietrich von Choltitz receives orders to burn down Paris if it becomes clear the Allies are going to invade, or if he cannot maintain control of the city. After much contemplation Choltitz decides to ignore his orders, enraging the Germans and giving hope to various resistance factions that the city will be liberated. Choltitz, along with Swedish diplomat Raoul Nordling, helps a resistance leader organize his forces.",/hdlXGmBbfZuF46yVbsZnT2TRAnn.jpg
Mayhem,"28,35,27",2017,A virus spreads through an office complex causing white collar workers to act out their worst impulses.,/fF5ULrCAQ8TULXyFGlPlQ2s3Jie.jpg
The Secret of NIMH,"10751,16,14,12,878",1982,"A widowed field mouse must move her family -- including an ailing son -- to escape a farmer's plow. Aided by a crow and a pack of superintelligent, escaped lab rats, the brave mother struggles to transplant her home to firmer ground.",/prNrnOKlkV9wl5Sl3zwHu1f3t2z.jpg
Dear John,"18,10749,10752",2010,"While Sergeant John Tyree is home on two weeks leave from Germany, he meets Savannah after he dives into the ocean to retrieve Savannah's purse that had fallen off a pier. John eventually falls in love with Savannah, who promises to write to him until he returns from overseas.",/2lAPv2jQ5eh54l4EttA9wjDljED.jpg
Wicker Park,"18,9648,10749,53",2004,"Matthew, a young advertising executive in Chicago, puts his life and a business trip to China on hold when he thinks he sees Lisa, the love of his life who left him without a word two years earlier, walking out of a restaurant one day.",/gRKEluSpV1wBrZVTvLLaCSkzqcf.jpg
Police Story 3: Super Cop,"28,80,53",1992,A Hong Kong detective teams up with his female Red Chinese counterpart to stop a Chinese drug czar.,/1C49MPtKZ8fZXtzwSj4Ha0eEEjl.jpg
The Relic,"27,9648,53",1997,A homicide detective teams up with an evolutionary biologist to hunt a giant creature that is killing people in a Chicago museum.,/3MpMbZTrXp6ccrir16nV7YTJ4vx.jpg
Trading Paint,"28,18",2019,"A stock car racing legend is drawn back to the dirt track when his son, an aspiring driver, joins a rival racing team.",/yV9G1nO6YxEWzXblqMUFoS19R9v.jpg
The Vatican Tapes,"53,27",2015,"In a highly secured vault deep within the walls of Vatican City, the Catholic Church holds thousands of old films and video footage documenting exorcisms/supposed exorcisms and other unexplained religious phenomena they feel the world is not ready to see. This is the first tape - Case 83-G - stolen from these archives and exposed to the public by an anonymous source.",/eXN0zdTpm772ZCfnCeLAONguqxe.jpg
Roxanne,"35,10749",1987,"In this modern take on Edmond Rostand's classic play ""Cyrano de Bergerac,"" C. D. Bales is the witty, intelligent, and brave fire chief of a small Pacific Northwest town who, due to the size of his enormous nose, declines to pursue the girl of his dreams, lovely Roxanne Kowalski. Instead, when his shy underling Chris McConnell becomes smitten with Roxanne, C.D. feeds the handsome young man the words of love to win her heart.",/c2XSGkpAIIof6Oi8Sr6wBvwt1Lk.jpg
Call Me Chihiro,18,2023,"An unapologetic former sex worker starts working at a bento stand in a small seaside town, bringing comfort to the lonely souls who come her way.",/bFryUqUKAJIgzIC8OeTzqm8td2.jpg
One Piece: The Movie,"28,16,12,35,14",2000,"There once was a pirate known as the Great Gold Pirate Woonan, who obtained almost one-third of the world's gold. Over the course of a few years, the pirate's existence faded, and a legend grew that he disappeared with his gold to a remote island, an island pirates continue to search for. Aboard the Going Merry, Luffy and his crew, starved and reckless, are robbed of their treasure. In an attempt to get it back, they wreck the getaway ship, guided by a young boy named Tobio, who's a captured part of El Drago's pirate crew. El Drago's love for gold has driven him to look for Woonan's island, and thanks to Woonan's treasure map, he finds it. During this time, Luffy's crew have been split up, and despite their own circumstances, they must find a way to stop El Drago from obtaining Woonan's gold.",/aRqQNSuXpcE3dkJC43aEg9f2HXd.jpg
Fun with Dick and Jane,"35,80,18,10749",2005,"After Dick Harper loses his job at Globodyne in an Enron-esque collapse, he and his wife, Jane, turn to crime in order to handle the massive debt they now face. Two intelligent people, Dick and Jane actually get pretty good at robbing people and even enjoy it -- but they have second thoughts when they're reminded that crime can hurt innocent people. When the couple hears that Globodyne boss Jack McCallister actually swindled the company, they plot revenge.",/1NBVGBi8Z6MhJBAJ5SuRMqP7o3T.jpg
Our Idiot Brother,"35,18",2011,"Everybody has one—the sibling who is always just a little bit behind the curve when it comes to getting his life together. For sisters Liz, Miranda and Natalie, that person is their perennially upbeat brother, Ned. But as each of their lives begins to unravel, Ned's family comes to realise that Ned isn't such an idiot after all.",/47kXCbmHOjxyW5Ao3oQ2uoheHi9.jpg
Red Dot,"53,27",2021,"On a hiking trip to rekindle their marriage, a couple find themselves fleeing for their lives in the unforgiving wilderness from an unknown shooter.",/xZ2KER2gOHbuHP2GJoODuXDSZCb.jpg
Before I Wake,"18,14,27,53",2016,An orphaned child's dreams—and nightmares—manifest physically as he sleeps.,/sI9neTbF3ECdpf2MpC88EMGJH13.jpg
The Flintstones in Viva Rock Vegas,"35,10751,10749",2000,"The Flintstones are at it again. The Flintstones and the Rubbles head for Rock Vegas with Fred hoping to court the lovely Wilma. Nothing will stand in the way of love, except for the conniving Chip Rockefeller who is the playboy born in Baysville but who has made it in the cutthroat town of Rock Vegas. Will Fred win Wilma's love?",/hJ0BqcVItbqe92LfsUC8zcNvwuc.jpg
Goal! II: Living the Dream,18,2007,"Tempted away from Newcastle United to join Real Madrid, rising star Santiago Munez finds this latest change of fortune the greatest challenge yet - personally as well as professionally. He is reunited with Gavin Harris, though they must compete to be on the team, and estranged from fiancee Roz, whose nursing career keeps her back home.",/vFRuhcZwG3T4WiEG0hnbBdMEYRm.jpg
Mortal Kombat Legends: Snow Blind,"16,28,14",2022,"Hellbent on taking over Earthrealm, Kano viciously attacks town after town with the aid of three cold-blooded Black Dragon mercenaries. Those who don’t submit are annihilated but one young man won’t bend the knee to Kano: Kenshi.",/jtsq5Vc4auAguReZqCUvRGHUWuq.jpg
STILL: A Michael J. Fox Movie,99,2023,A short kid from a Canadian army base becomes the international pop culture darling of the 1980s—only to find the course of his life altered by a stunning diagnosis. What happens when an incurable optimist confronts an incurable disease?,/fDO4gYZxvdsIrHKzsSAbc3N7Wfg.jpg
The Quiet Earth,"18,878,53",1985,"After a top-secret experiment misfires, a scientist may be the only man left alive in the world.",/6uvRcSy1DCh0zONGMRO4bEj44hq.jpg
House at the End of the Street,"27,53",2012,"A mother and daughter move to a new town and find themselves living next door to a house where a young girl murdered her parents. When the daughter befriends the surviving son, she learns the story is far from over.",/bgHeZ5g7YyxKcwWw1tgyAMy0czy.jpg
Cell 211,"28,53,18",2009,"The story of two men on different sides of a prison riot -- the inmate leading the rebellion and the young guard trapped in the revolt, who poses as a prisoner in a desperate attempt to survive the ordeal.",/koap5B3bQHQi3yaZ39vpWR66TGP.jpg
Southern Comfort,"28,53",1981,"A squad of National Guards on an isolated weekend exercise in the Louisiana swamp must fight for their lives when they anger local Cajuns by stealing their canoes. Without live ammunition and in a strange country, their experience begins to mirror the Vietnam experience.",/3tE2tnk3iSXftJkRN5fkwqcRAiV.jpg
Urban Legends: Final Cut,"27,9648,53",2000,"The making of a horror movie takes on a terrifying reality for students at the most prestigious film school in the country. At Alpine University, someone is determined to win the best film award at any cost - even if it means eliminating the competition. No one is safe and everyone is a suspect.",/9kjGrnhMz37RYEd5BFcrU1qkPkl.jpg
Yojimbo,"18,53",1961,"A nameless ronin, or samurai with no master, enters a small village in feudal Japan where two rival businessmen are struggling for control of the local gambling trade. Taking the name Sanjuro Kuwabatake, the ronin convinces both silk merchant Tazaemon and sake merchant Tokuemon to hire him as a personal bodyguard, then artfully sets in motion a full-scale gang war between the two ambitious and unscrupulous men.",/tN7kYPjRhDolpui9sc9Eq9n5b2O.jpg
Titan A.E.,"16,28,878,10751,12",2000,"A young man finds out that he holds the key to restoring hope and ensuring survival for the human race, while an alien species called the Drej are bent on mankind's destruction.",/el2iHk3LTJWfEnwrvcRkvWY501G.jpg
Skinamarink,27,2023,"Two children wake up in the middle of the night to find their father is missing, and all the windows and doors in their home have vanished.",/o942912KFh89SGhqWuKXuT0SXzN.jpg
Grave Encounters 2,27,2012,"Tortured by the ghosts of the demonized insane asylum that killed the crew of GRAVE ENCOUNTERS, film students fight to escape death as their own paranormal investigation goes terribly wrong in this horrifying sequel.",/zzq1JCjsk7buXVOA0mwRH7zbHOP.jpg
Newsies,"18,10402,36,10751",1992,"A week in the life of the exploited, child newspaper sellers in turn-of-the-century New York. When their publisher, Joseph Pulitzer, tries to squeeze a little more profit out of their labours, they organize a strike, only to be confronted with the Pulitzer's hard-ball tactics.",/5ajf5NllMaJFemM21WQDeNxZQ0F.jpg
